,Tick,Train_Loss,Test_Loss
154,154,0.14032070739055746,0.13761864966008722
155,155,0.14205272473506073,0.13796570085413087
156,156,0.14010063258569633,0.1390082717426424
157,157,0.14074197033448005,0.13809044719711552
158,158,0.14067236634332742,0.13827188724909373
159,159,0.14062220414183033,0.1378931388622377
160,160,0.1398824940421688,0.13804911682760812
161,161,0.14049478876056956,0.13796875001938363
162,162,0.14064023343484794,0.1378926226520926
163,163,0.1403879027313261,0.13772175588258884
164,164,0.1399260483570953,0.138266068527369
165,165,0.14063036931094838,0.13796394251711
166,166,0.13991912821335578,0.13826876418377326
167,167,0.14167479414548448,0.13774608911537542
168,168,0.13984992299506913,0.13872347590399953
169,169,0.1418653083826179,0.1383204117296188
170,170,0.14061381300883508,0.13828582783055499
171,171,0.14020187974865758,0.13784687838903287
172,172,0.14077941317166856,0.13753501113837327
173,173,0.14055717836565046,0.13802604207663033
174,174,0.13981955242690755,0.1383121812004384
175,175,0.14091215560685344,0.13785632075817605
176,176,0.13968380062437769,0.13849101754708018
177,177,0.14068659205934894,0.1378431337151101
178,178,0.1407033369612338,0.1377788910536262
179,179,0.1416269445152425,0.13743674876244089
180,180,0.1411561049632172,0.13832319061445997
181,181,0.14138103220889817,0.1378693735696436
182,182,0.14152009473807775,0.13966509639247646
183,183,0.13956412317147895,0.13810322173242648
184,184,0.1419125326089005,0.13789384491075346
185,185,0.14044662109061853,0.13788460146605483
186,186,0.14036235880495898,0.13791839560357536
187,187,0.1405315808395841,0.13776105121383822
188,188,0.14136383115355647,0.1378881137787811
189,189,0.140394483484439,0.13787927884396498
190,190,0.14040471368761204,0.1377379366052829
191,191,0.14095346051365581,0.13785953432079254
192,192,0.13956556168954765,0.13828953603903452
193,193,0.14057383675183824,0.13795486371207044
194,194,0.14112227243274006,0.13745433782658925
195,195,0.1403668293757225,0.1387944042198057
196,196,0.1415330389542366,0.13718675440404474
197,197,0.141161650864046,0.13814664771401786
198,198,0.13984547777852016,0.13772728930159314
199,199,0.1404265447783826,0.13801546334251155
200,200,0.14032253200438485,0.13779848898813976
201,201,0.14137197853024328,0.13763914045279588
202,202,0.1401602863820631,0.13791335646699115
203,203,0.1410054862499237,0.1381029072331219
204,204,0.1421264581271072,0.1371882645095267
205,205,0.14050024792329588,0.137706166845027
206,206,0.14013834942632647,0.13849098435262355
207,207,0.14294275886087277,0.13784613514818797
208,208,0.14036082398535601,0.1382091920065686
209,209,0.14005999267101288,0.13781262401158248
210,210,0.13989070035628418,0.1382118038287977
211,211,0.14045749827107387,0.13792165386967542
212,212,0.14165450387926243,0.13787328972806775
213,213,0.14114276597748943,0.137622892129712
214,214,0.13962969628732597,0.13785328370768848
215,215,0.14221596740075013,0.13784864629671825
216,216,0.14080925686145895,0.13835982263572816
217,217,0.13960309660256798,0.1380828411840811
218,218,0.14140770306338124,0.1379213834681162
219,219,0.14022846453225435,0.1382963574998747
220,220,0.14012610289587904,0.13810824027390983
221,221,0.14033833857792527,0.13787073333088945
222,222,0.1404239192827424,0.13814906824410447
223,223,0.13996316959608845,0.1380674865672259
224,224,0.14074082005379804,0.13764975819645858
225,225,0.14088538845083606,0.13798643224607637
226,226,0.13992479843879813,0.13808593735462282
227,227,0.14114936763670907,0.13774146902851941
228,228,0.14074672447211706,0.13816569176146654
229,229,0.13985052437924628,0.13805857954955683
230,230,0.14124142389688918,0.13770617278126196
231,231,0.1402058717030198,0.13825803571115663
232,232,0.14123114743339482,0.13747938607281784
